Name,Mission Components,Mission Status,Location,Launch Time,Company,Status,Price,Liftoff Thrust kN,Payload to LEO kg,Payload to GTO kg,Stages,Strap-ons,Rocket Height m,Fairing Diameter m,Fairing Height m,Orbit,Payloads,Total Mass kg,year,Country,month,Region
Vega,OPSAT 3000 & VENµS,Success,"ELV, Guiana Space Centre, French Guiana, France",2017-08-02 01:58:00+00:00,Arianespace,Retired,37.0,2200.0,1436.0,,4.0,0.0,29.9,2.6,7.88,Sun-Synchronous Orbit,2.0,633.0,2017,France,August,French Guiana
Soyuz FG,Soyuz MS-05,Success,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",2017-07-28 15:41:00+00:00,Roscosmos,Retired,,4550.0,7300.0,0.0,3.0,4.0,51.32,3.0,15.59,Low Earth Orbit,1.0,7250.0,2017,Kazakhstan,July,Baikonur Cosmodrome
Simorgh,Toloo,Failure,"Imam Khomeini Spaceport, Semnan Space Center, Iran",2017-07-27 09:30:00+00:00,ISA,Active,,1333.0,350.0,0.0,3.0,0.0,26.5,1.5,3.2,Low Earth Orbit,1.0,100.0,2017,Iran,July,Semnan Space Center
Soyuz 2.1a/Fregat,Kanopus-V IK & Others,Success,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2017-07-14 06:36:00+00:00,Roscosmos,Active,23.0,4550.0,7020.0,2810.0,4.0,4.0,46.94,4.11,10.2,,,,2017,Kazakhstan,July,Baikonur Cosmodrome
Falcon 9 Block 3 (v1.2/FT),Intelsat 35e,Success,"LC-39A, Kennedy Space Center, Florida, USA",2017-07-05 23:38:00+00:00,SpaceX,Retired,62.0,6804.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Geostationary Transfer Orbit,1.0,6761.0,2017,USA,July,Florida
Long March 5,Shijian-18,Failure,"LC-101, Wenchang Space Launch Site, China",2017-07-02 11:23:00+00:00,CASC,Active,,10565.0,32000.0,14000.0,3.0,4.0,57.0,5.2,20.0,Geostationary Transfer Orbit,1.0,7600.0,2017,China,July,Wenchang Space Launch Site
Ariane 5 ECA,Hellas Sat 3 & GSAT-17,Success,"ELA-3, Guiana Space Centre, French Guiana, France",2017-06-28 21:15:00+00:00,Arianespace,Retired,200.0,15120.0,21000.0,10500.0,2.0,2.0,53.0,5.4,17.0,Geostationary Transfer Orbit,3.0,9257.0,2017,France,June,French Guiana
Falcon 9 Block 3 (v1.2/FT),Iridium-2,Success,"SLC-4E, Vandenberg SFB, California, USA",2017-06-25 20:25:00+00:00,SpaceX,Retired,62.0,6804.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Polar Orbit,10.0,9600.0,2017,USA,June,California
Falcon 9 Block 3 (v1.2/FT),BulgariaSat-1,Success,"LC-39A, Kennedy Space Center, Florida, USA",2017-06-23 19:10:00+00:00,SpaceX,Retired,62.0,6804.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Geostationary Transfer Orbit,1.0,3669.0,2017,USA,June,Florida
Soyuz 2.1v/Volga,"Cosmos 2519, 2521 and 2523",Success,"Site 43/4, Plesetsk Cosmodrome, Russia",2017-06-23 18:04:00+00:00,VKS RF,Active,,1535.0,2850.0,0.0,3.0,0.0,44.08,3.0,8.36,Low Earth Orbit,6.0,,2017,Russia,June,Plesetsk Cosmodrome
PSLV-XL,Cartosat-2E & Rideshares,Success,"First Launch Pad, Satish Dhawan Space Centre, India",2017-06-23 03:59:00+00:00,ISRO,Active,31.0,7661.0,3250.0,1410.0,4.0,6.0,44.0,3.2,8.3,Sun-Synchronous Orbit,32.0,712.0,2017,India,June,Satish Dhawan Space Centre
Long March 3B/E,ChinaSat-9A,Partial Failure,"LC-2, Xichang Satellite Launch Center, China",2017-06-18 16:11:00+00:00,CASC,Active,29.15,5986.0,11500.0,5550.0,3.0,4.0,56.3,4.2,9.56,Geostationary Transfer Orbit,1.0,5100.0,2017,China,June,Xichang Satellite Launch Center
Long March 4B,"HXMT, ÑuSat 3, Zhuhai-1 OVS 1A & 1B",Success,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2017-06-15 03:00:00+00:00,CASC,Active,64.68,2993.0,4200.0,1500.0,3.0,0.0,46.97,3.8,11.74,Sun-Synchronous Orbit,4.0,2638.0,2017,China,June,Jiuquan Satellite Launch Center
Soyuz 2.1a,Progress MS-06,Success,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2017-06-14 09:20:00+00:00,Roscosmos,Active,17.42,4550.0,7500.0,0.0,3.0,4.0,51.38,4.11,15.59,Low Earth Orbit,1.0,7276.0,2017,Kazakhstan,June,Baikonur Cosmodrome
Proton-M/Briz-M,Echostar 21,Success,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",2017-06-08 03:45:00+00:00,ILS,Active,65.0,10027.0,21000.0,6900.0,4.0,0.0,58.18,4.35,15.26,Geostationary Transfer Orbit,1.0,6871.0,2017,Kazakhstan,June,Baikonur Cosmodrome
LVM-3,GSAT-19,Success,"Second Launch Pad, Satish Dhawan Space Centre, India",2017-06-05 11:58:00+00:00,ISRO,Active,62.0,11898.0,10000.0,4000.0,3.0,2.0,43.4,5.0,,Geostationary Transfer Orbit,1.0,3136.0,2017,India,June,Satish Dhawan Space Centre
Falcon 9 Block 3 (v1.2/FT),CRS SpX-11,Success,"LC-39A, Kennedy Space Center, Florida, USA",2017-06-03 21:07:00+00:00,SpaceX,Retired,62.0,6804.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Low Earth Orbit,1.0,2708.0,2017,USA,June,Florida
Ariane 5 ECA,ViaSat 2 & Eutelsat 172B,Success,"ELA-3, Guiana Space Centre, French Guiana, France",2017-06-01 23:45:00+00:00,Arianespace,Retired,200.0,15120.0,21000.0,10500.0,2.0,2.0,53.0,5.4,17.0,Geostationary Transfer Orbit,2.0,9969.0,2017,France,June,French Guiana
H-IIA 202,Michibiki 2,Success,"LA-Y1, Tanegashima Space Center, Japan",2017-06-01 00:17:00+00:00,MHI,Active,90.0,,10000.0,4100.0,2.0,2.0,53.0,4.07,12.0,Geostationary Transfer Orbit,1.0,4000.0,2017,Japan,June,Tanegashima Space Center
Soyuz 2.1b/Fregat-M,Cosmos 2518,Success,"Site 43/4, Plesetsk Cosmodrome, Russia",2017-05-25 06:33:00+00:00,VKS RF,Active,25.0,4550.0,7500.0,3250.0,4.0,4.0,46.94,4.11,11.43,Molniya Orbit,1.0,,2017,Russia,May,Plesetsk Cosmodrome
Electron,It's a Test,Failure,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",2017-05-25 04:20:00+00:00,Rocket Lab,Active,7.5,224.0,320.0,,2.0,0.0,18.0,1.2,4.05,Low Earth Orbit,1.0,10.0,2017,New Zealand,May,Māhia Peninsula
Soyuz ST-A/Fregat-M,SES-15,Success,"ELS, Guiana Space Centre, French Guiana, France",2017-05-18 11:54:00+00:00,Arianespace,Active,30.0,4317.0,8500.0,3000.0,4.0,4.0,46.94,4.11,11.43,Geostationary Transfer Orbit,1.0,2302.0,2017,France,May,French Guiana
Falcon 9 Block 3 (v1.2/FT),Inmarsat-5 F4,Success,"LC-39A, Kennedy Space Center, Florida, USA",2017-05-15 23:21:00+00:00,SpaceX,Retired,62.0,6804.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Geostationary Transfer Orbit,1.0,6070.0,2017,USA,May,Florida
GSLV Mk II,GSAT-9,Success,"Second Launch Pad, Satish Dhawan Space Centre, India",2017-05-05 11:27:00+00:00,ISRO,Active,47.0,7887.0,5000.0,2500.0,3.0,4.0,51.7,4.0,7.8,Geostationary Transfer Orbit,1.0,2230.0,2017,India,May,Satish Dhawan Space Centre
Ariane 5 ECA,Koreasat 7 & SGDC-1,Success,"ELA-3, Guiana Space Centre, French Guiana, France",2017-05-04 21:50:00+00:00,Arianespace,Retired,200.0,15120.0,21000.0,10500.0,2.0,2.0,53.0,5.4,17.0,Geostationary Transfer Orbit,2.0,9415.0,2017,France,May,French Guiana
Falcon 9 Block 3 (v1.2/FT),(USA-276) (NROL-76),Success,"LC-39A, Kennedy Space Center, Florida, USA",2017-05-01 11:15:00+00:00,SpaceX,Retired,62.0,6804.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Low Earth Orbit,1.0,,2017,USA,May,Florida
Long March 7,Tianzhou 1,Success,"LC-201, Wenchang Space Launch Site, China",2017-04-20 11:41:00+00:00,CASC,Active,,7128.0,13500.0,5500.0,2.0,4.0,53.1,4.2,12.4,Low Earth Orbit,2.0,13005.0,2017,China,April,Wenchang Space Launch Site
Soyuz FG,Soyuz MS-04,Success,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",2017-04-20 07:13:00+00:00,Roscosmos,Retired,,4550.0,7300.0,0.0,3.0,4.0,51.32,3.0,15.59,Low Earth Orbit,1.0,7250.0,2017,Kazakhstan,April,Baikonur Cosmodrome
Atlas V 401,CRS OA-7,Success,"SLC-41, Cape Canaveral SFS, Florida, USA",2017-04-18 15:11:00+00:00,ULA,Retired,109.0,3826.0,9797.0,4750.0,2.0,0.0,58.3,4.2,13.8,Low Earth Orbit,1.0,3459.0,2017,USA,April,Florida
Long March 3B/E,Shijian 13,Success,"LC-2, Xichang Satellite Launch Center, China",2017-04-12 11:04:00+00:00,CASC,Active,29.15,5986.0,11500.0,5550.0,3.0,4.0,56.3,4.2,9.56,Geostationary Transfer Orbit,1.0,4600.0,2017,China,April,Xichang Satellite Launch Center
Falcon 9 Block 3 (v1.2/FT),SES-10,Success,"LC-39A, Kennedy Space Center, Florida, USA",2017-03-30 22:27:00+00:00,SpaceX,Retired,62.0,6804.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Geostationary Transfer Orbit,1.0,5300.0,2017,USA,March,Florida
"Delta IV Medium+ (5,4)",WGS-9 (USA-275),Success,"SLC-37B, Cape Canaveral SFS, Florida, USA",2017-03-19 00:18:00+00:00,ULA,Retired,,6653.0,11600.0,6890.0,2.0,4.0,66.4,5.1,19.1,Geostationary Earth Orbit,1.0,5987.0,2017,USA,March,Florida
H-IIA 202,IGS-Radar 5,Success,"LA-Y1, Tanegashima Space Center, Japan",2017-03-17 01:20:00+00:00,MHI,Active,90.0,,10000.0,4100.0,2.0,2.0,53.0,4.07,12.0,Low Earth Orbit,1.0,1200.0,2017,Japan,March,Tanegashima Space Center
Falcon 9 Block 3 (v1.2/FT),Echostar 23,Success,"LC-39A, Kennedy Space Center, Florida, USA",2017-03-16 06:00:00+00:00,SpaceX,Retired,62.0,6804.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Geostationary Transfer Orbit,1.0,5600.0,2017,USA,March,Florida
Vega,Sentinel 2B,Success,"ELV, Guiana Space Centre, French Guiana, France",2017-03-07 01:49:00+00:00,Arianespace,Retired,37.0,2200.0,1436.0,,4.0,0.0,29.9,2.6,7.88,Sun-Synchronous Orbit,1.0,1140.0,2017,France,March,French Guiana
Kaituozhe 2,Tiankun-1,Success,"Site 95A, Jiuquan Satellite Launch Center, China",2017-03-02 23:53:00+00:00,CASIC,Retired,,500.0,350.0,0.0,4.0,0.0,16.8,1.4,4.5,Low Earth Orbit,1.0,50.0,2017,China,March,Jiuquan Satellite Launch Center
Atlas V 401,NOSS-3 8A & 8B (USA-274) (NROL-79),Success,"SLC-3E, Vandenberg SFB, California, USA",2017-03-01 17:49:00+00:00,ULA,Retired,109.0,3826.0,9797.0,4750.0,2.0,0.0,58.3,4.2,13.8,,3.0,,2017,USA,March,California
Soyuz U,Progress MS-05,Success,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",2017-02-22 05:58:00+00:00,Roscosmos,Retired,20.0,4456.0,6860.0,0.0,3.0,4.0,51.32,3.0,15.59,Low Earth Orbit,1.0,7278.0,2017,Kazakhstan,February,Baikonur Cosmodrome
Falcon 9 Block 3 (v1.2/FT),CRS SpX-10,Success,"LC-39A, Kennedy Space Center, Florida, USA",2017-02-19 14:39:00+00:00,SpaceX,Retired,62.0,6804.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Low Earth Orbit,,2490.0,2017,USA,February,Florida
PSLV-XL,Cartosat-2D & Rideshares,Success,"First Launch Pad, Satish Dhawan Space Centre, India",2017-02-15 03:58:00+00:00,ISRO,Active,31.0,7661.0,3250.0,1410.0,4.0,6.0,44.0,3.2,8.3,Sun-Synchronous Orbit,104.0,712.0,2017,India,February,Satish Dhawan Space Centre
Ariane 5 ECA,Intelsat 32e/SkyBrasil-1 & Telkom-3S,Success,"ELA-3, Guiana Space Centre, French Guiana, France",2017-02-14 21:39:00+00:00,Arianespace,Retired,200.0,15120.0,21000.0,10500.0,2.0,2.0,53.0,5.4,17.0,Geostationary Transfer Orbit,2.0,9550.0,2017,France,February,French Guiana
Soyuz ST-B/Fregat-MT,Hispasat AG1,Success,"ELS, Guiana Space Centre, French Guiana, France",2017-01-28 01:03:00+00:00,Arianespace,Active,30.0,4317.0,9000.0,3250.0,4.0,4.0,46.94,4.11,11.43,Geostationary Transfer Orbit,1.0,3200.0,2017,France,January,French Guiana
H-IIA 204,Kirameki 2,Success,"LA-Y1, Tanegashima Space Center, Japan",2017-01-24 07:44:00+00:00,MHI,Retired,,,15000.0,6000.0,2.0,4.0,,4.07,12.0,Geostationary Transfer Orbit,1.0,,2017,Japan,January,Tanegashima Space Center
Atlas V 401,SBIRS GEO-3,Success,"SLC-41, Cape Canaveral SFS, Florida, USA",2017-01-21 00:42:00+00:00,ULA,Retired,109.0,3826.0,9797.0,4750.0,2.0,0.0,58.3,4.2,13.8,Geostationary Transfer Orbit,1.0,4500.0,2017,USA,January,Florida
SS-520,TRICOM-1,Failure,"Lambda Pad, Uchinoura Space Center, Japan",2017-01-14 23:33:00+00:00,JAXA,Retired,,,4.0,,3.0,0.0,9.54,0.52,,Low Earth Orbit,1.0,4.0,2017,Japan,January,Uchinoura Space Center
Falcon 9 Block 3 (v1.2/FT),Iridium-1,Success,"SLC-4E, Vandenberg SFB, California, USA",2017-01-14 17:54:00+00:00,SpaceX,Retired,62.0,6804.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Polar Orbit,10.0,9600.0,2017,USA,January,California
Kuaizhou 1A,"Jilin-1 03, Caton-1 & Xingyun Shiyan 1",Success,"Site 95A, Jiuquan Satellite Launch Center, China",2017-01-09 04:11:00+00:00,ExPace,Active,5.8,537.0,300.0,0.0,4.0,0.0,19.8,1.4,3.4,Low Earth Orbit,3.0,171.0,2017,China,January,Jiuquan Satellite Launch Center
Long March 3B/E,TJS 2,Success,"LC-2, Xichang Satellite Launch Center, China",2017-01-05 15:18:00+00:00,CASC,Active,29.15,5986.0,11500.0,5550.0,3.0,4.0,56.3,4.2,9.56,Geostationary Transfer Orbit,1.0,2700.0,2017,China,January,Xichang Satellite Launch Center
Long March 2D,"GaoJing 01, 02 & Bayi Kepu 1",Partial Failure,"LC-9, Taiyuan Satellite Launch Center, China",2016-12-28 03:23:00+00:00,CASC,Active,29.75,2962.0,3500.0,1200.0,2.0,0.0,40.77,3.35,7.82,Sun-Synchronous Orbit,3.0,1122.0,2016,China,December,Taiyuan Satellite Launch Center
Ariane 5 ECA,Star One D1 & JCSAT-15,Success,"ELA-3, Guiana Space Centre, French Guiana, France",2016-12-21 20:30:00+00:00,Arianespace,Retired,200.0,15120.0,21000.0,10500.0,2.0,2.0,53.0,5.4,17.0,Geostationary Transfer Orbit,2.0,9833.0,2016,France,December,French Guiana
Long March 2D,"TanSat, Xighuo 1, 2 & Yijian",Success,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2016-12-21 19:22:00+00:00,CASC,Active,29.75,2962.0,3500.0,1200.0,2.0,0.0,40.77,3.35,7.82,Sun-Synchronous Orbit,4.0,772.0,2016,China,December,Jiuquan Satellite Launch Center
Epsilon,SPRINT-B,Success,"Mu Pad, Uchinoura Space Center, Japan",2016-12-20 11:00:00+00:00,JAXA,Active,,1612.0,,,3.0,0.0,26.0,2.5,9.19,Elliptical,1.0,350.0,2016,Japan,December,Uchinoura Space Center
Atlas V 431,EchoStar 19,Success,"SLC-41, Cape Canaveral SFS, Florida, USA",2016-12-18 19:13:00+00:00,ULA,Retired,130.0,8815.0,15260.0,7700.0,2.0,3.0,59.1,4.2,13.8,Geostationary Transfer Orbit,1.0,6637.0,2016,USA,December,Florida
Pegasus XL,CYGNSS,Success,"Stargazer, Cape Canaveral SFS, Florida, USA",2016-12-15 13:37:00+00:00,Northrop,Active,40.0,561.0,443.0,,4.0,0.0,17.6,1.15,2.13,Low Earth Orbit,8.0,346.0,2016,USA,December,Florida
Long March 3B/E,Fengyun 4A,Success,"LC-3, Xichang Satellite Launch Center, China",2016-12-10 16:11:00+00:00,CASC,Active,29.15,5986.0,11500.0,5550.0,3.0,4.0,56.3,4.2,9.56,Geostationary Transfer Orbit,1.0,5300.0,2016,China,December,Xichang Satellite Launch Center
H-IIB,HTV-6,Success,"LA-Y2, Tanegashima Space Center, Japan",2016-12-09 13:26:00+00:00,MHI,Retired,112.5,,16500.0,8000.0,2.0,4.0,56.6,5.1,15.0,Low Earth Orbit,1.0,16400.0,2016,Japan,December,Tanegashima Space Center
"Delta IV Medium+ (5,4)",WGS-8 (USA-272),Success,"SLC-37B, Cape Canaveral SFS, Florida, USA",2016-12-07 23:52:00+00:00,ULA,Retired,,6653.0,11600.0,6890.0,2.0,4.0,66.4,5.1,19.1,Geostationary Transfer Orbit,1.0,5987.0,2016,USA,December,Florida
PSLV-XL,Resourcesat-2A,Success,"First Launch Pad, Satish Dhawan Space Centre, India",2016-12-07 04:54:00+00:00,ISRO,Active,31.0,7661.0,3250.0,1410.0,4.0,6.0,44.0,3.2,8.3,Sun-Synchronous Orbit,1.0,1235.0,2016,India,December,Satish Dhawan Space Centre
Vega,Göktürk-1A,Success,"ELV, Guiana Space Centre, French Guiana, France",2016-12-05 13:51:00+00:00,Arianespace,Retired,37.0,2200.0,1436.0,,4.0,0.0,29.9,2.6,7.88,Sun-Synchronous Orbit,1.0,1060.0,2016,France,December,French Guiana
Soyuz U,Progress MS-04,Failure,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",2016-12-01 14:51:00+00:00,Roscosmos,Retired,20.0,4456.0,6860.0,0.0,3.0,4.0,51.32,3.0,15.59,Low Earth Orbit,1.0,7285.0,2016,Kazakhstan,December,Baikonur Cosmodrome
Long March 3C/E,Tianlian 1D,Success,"LC-2, Xichang Satellite Launch Center, China",2016-11-22 15:24:00+00:00,CASC,Active,20.0,5923.0,8000.0,3900.0,3.0,4.0,55.64,4.2,9.78,Geostationary Transfer Orbit,1.0,2400.0,2016,China,November,Xichang Satellite Launch Center
Atlas V 541,GOES-R (GOES-16),Success,"SLC-41, Cape Canaveral SFS, Florida, USA",2016-11-19 23:42:00+00:00,ULA,Retired,145.0,10478.0,17410.0,8290.0,2.0,4.0,62.2,5.4,26.5,Geostationary Transfer Orbit,1.0,5192.0,2016,USA,November,Florida
Soyuz FG,Soyuz MS-03,Success,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",2016-11-17 20:20:00+00:00,Roscosmos,Retired,,4550.0,7300.0,0.0,3.0,4.0,51.32,3.0,15.59,Low Earth Orbit,1.0,7250.0,2016,Kazakhstan,November,Baikonur Cosmodrome
Ariane 5 ES,Galileo FOC FM07 & FM12-FM14,Success,"ELA-3, Guiana Space Centre, French Guiana, France",2016-11-17 13:06:00+00:00,Arianespace,Retired,,15120.0,21000.0,,2.0,2.0,50.5,5.4,17.0,Medium Earth Orbit,4.0,3290.0,2016,France,November,French Guiana
Long March 2D,Yunhai-1 01,Success,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2016-11-11 23:14:00+00:00,CASC,Active,29.75,2962.0,3500.0,1200.0,2.0,0.0,40.77,3.35,7.82,Sun-Synchronous Orbit,1.0,,2016,China,November,Jiuquan Satellite Launch Center
Atlas V 401,WorldView-4,Success,"SLC-3E, Vandenberg SFB, California, USA",2016-11-11 18:30:00+00:00,ULA,Retired,109.0,3826.0,9797.0,4750.0,2.0,0.0,58.3,4.2,13.8,Sun-Synchronous Orbit,1.0,2485.0,2016,USA,November,California
Long March 11,"XPNAV 1, Xiaoxiang 1 & Others",Success,"Site 95A, Jiuquan Satellite Launch Center, China",2016-11-09 23:42:00+00:00,CASC,Active,5.3,1176.0,530.0,2.0,4.0,0.0,20.8,2.0,5.0,Low Earth Orbit,7.0,250.0,2016,China,November,Jiuquan Satellite Launch Center
Long March 5/YZ-2,Shijian-17,Success,"LC-101, Wenchang Space Launch Site, China",2016-11-03 12:43:00+00:00,CASC,Active,,10565.0,32000.0,13500.0,3.0,4.0,57.0,5.2,20.0,Geostationary Transfer Orbit,1.0,4000.0,2016,China,November,Wenchang Space Launch Site
H-IIA 202,Himawari 9,Success,"LA-Y1, Tanegashima Space Center, Japan",2016-11-02 06:20:00+00:00,MHI,Active,90.0,,10000.0,4100.0,2.0,2.0,53.0,4.07,12.0,Geostationary Transfer Orbit,1.0,3500.0,2016,Japan,November,Tanegashima Space Center
Soyuz FG,Soyuz MS-02,Success,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2016-10-19 08:05:00+00:00,Roscosmos,Retired,,4550.0,7300.0,0.0,3.0,4.0,51.32,3.0,15.59,Low Earth Orbit,1.0,7250.0,2016,Kazakhstan,October,Baikonur Cosmodrome
Antares 230,CRS OA-5,Success,"LP-0A, Wallops Flight Facility, Virginia, USA",2016-10-17 23:45:00+00:00,Northrop,Retired,85.0,3844.0,7000.0,,2.0,0.0,41.9,3.9,9.9,Low Earth Orbit,1.0,2425.0,2016,USA,October,Virginia
Long March 2F/G,Shenzhou 11,Success,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China",2016-10-16 23:30:00+00:00,CASC,Active,,5985.0,8600.0,0.0,2.0,4.0,58.34,3.6,19.11,Low Earth Orbit,1.0,7840.0,2016,China,October,Jiuquan Satellite Launch Center
Ariane 5 ECA,Sky Muster II & GSAT-18,Success,"ELA-3, Guiana Space Centre, French Guiana, France",2016-10-05 20:30:00+00:00,Arianespace,Retired,200.0,15120.0,21000.0,10500.0,2.0,2.0,53.0,5.4,17.0,Geostationary Transfer Orbit,2.0,9809.0,2016,France,October,French Guiana
New Shepard,Mission 6 (Inflight Escape Test),Success,"Launch Site One, West Texas, Texas, USA",2016-10-05 15:36:00+00:00,Blue Origin,Active,,490.0,0.0,0.0,2.0,0.0,18.0,,,Suborbital,,,2016,USA,October,Texas
PSLV-G,ScatSat-1 & Rideshares,Success,"First Launch Pad, Satish Dhawan Space Centre, India",2016-09-26 03:42:00+00:00,ISRO,Retired,25.0,6887.0,3250.0,1410.0,4.0,6.0,44.5,3.2,8.3,Sun-Synchronous Orbit,8.0,651.0,2016,India,September,Satish Dhawan Space Centre
Vega,PerúSat 1 & SkySats 4 to 7,Success,"ELV, Guiana Space Centre, French Guiana, France",2016-09-16 01:43:00+00:00,Arianespace,Retired,37.0,2200.0,1436.0,,4.0,0.0,29.9,2.6,7.88,Sun-Synchronous Orbit,5.0,830.0,2016,France,September,French Guiana
Long March 2F/T,Tiangong-2,Success,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China",2016-09-15 14:04:00+00:00,CASC,Active,,5985.0,8600.0,0.0,2.0,4.0,52.03,3.8,12.78,Low Earth Orbit,1.0,8600.0,2016,China,September,Jiuquan Satellite Launch Center
Shavit 2,Ofek-11,Success,"Pad 1, Palmachim Airbase, Israel",2016-09-13 14:38:00+00:00,IAI,Active,,554.0,350.0,,3.0,0.0,22.0,1.35,4.37,Retrograde Low Earth Orbit,1.0,370.0,2016,Israel,September,Palmachim Airbase
Atlas V 411,OSIRIS-REx,Success,"SLC-41, Cape Canaveral SFS, Florida, USA",2016-09-08 23:05:00+00:00,ULA,Retired,115.0,5489.0,12030.0,5950.0,2.0,1.0,58.3,4.2,13.8,Heliocentric Orbit,1.0,2110.0,2016,USA,September,Florida
GSLV Mk II,INSAT-3DR,Success,"Second Launch Pad, Satish Dhawan Space Centre, India",2016-09-08 11:20:00+00:00,ISRO,Active,47.0,7887.0,5000.0,2500.0,3.0,4.0,51.7,4.0,7.8,Geostationary Transfer Orbit,1.0,2211.0,2016,India,September,Satish Dhawan Space Centre
Falcon 9 Block 3 (v1.2/FT),AMOS-6,Prelaunch Failure,"SLC-40, Cape Canaveral SFS, Florida, USA",2016-09-01 13:07:00+00:00,SpaceX,Retired,62.0,6804.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Geostationary Transfer Orbit,1.0,5500.0,2016,USA,September,Florida
Long March 4C,Gaofen-10,Failure,"LC-9, Taiyuan Satellite Launch Center, China",2016-08-31 18:55:00+00:00,CASC,Active,64.68,2993.0,4200.0,1500.0,3.0,0.0,46.97,3.8,11.74,Sun-Synchronous Orbit,1.0,,2016,China,August,Taiyuan Satellite Launch Center
Ariane 5 ECA,Intelsat 33e & Intelsat 36,Success,"ELA-3, Guiana Space Centre, French Guiana, France",2016-08-24 22:16:00+00:00,Arianespace,Retired,200.0,15120.0,21000.0,10500.0,2.0,2.0,53.0,5.4,17.0,Geostationary Transfer Orbit,2.0,9853.0,2016,France,August,French Guiana
"Delta IV Medium+ (4,2)",AFSPC-6,Success,"SLC-37B, Cape Canaveral SFS, Florida, USA",2016-08-19 04:52:00+00:00,ULA,Retired,164.0,4895.0,10440.0,6390.0,2.0,2.0,62.5,4.0,11.75,Geosynchronous Orbit,2.0,,2016,USA,August,Florida
Long March 2D,"QUESS, Lixing-1, & 3CAT 2",Success,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2016-08-15 17:40:00+00:00,CASC,Active,29.75,2962.0,3500.0,1200.0,2.0,0.0,40.77,3.35,7.82,Sun-Synchronous Orbit,3.0,748.0,2016,China,August,Jiuquan Satellite Launch Center
Falcon 9 Block 3 (v1.2/FT),JCSAT-16,Success,"SLC-40, Cape Canaveral SFS, Florida, USA",2016-08-14 05:26:00+00:00,SpaceX,Retired,62.0,6804.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Geostationary Transfer Orbit,1.0,4600.0,2016,USA,August,Florida
Long March 4C,Gaofen-3,Success,"LC-9, Taiyuan Satellite Launch Center, China",2016-08-09 22:55:00+00:00,CASC,Active,64.68,2993.0,4200.0,1500.0,3.0,0.0,46.97,3.8,11.74,Sun-Synchronous Orbit,1.0,2950.0,2016,China,August,Taiyuan Satellite Launch Center
Long March 3B/E,Tiantong-1 01,Success,"LC-3, Xichang Satellite Launch Center, China",2016-08-05 16:22:00+00:00,CASC,Active,29.15,5986.0,11500.0,5550.0,3.0,4.0,56.3,4.2,9.56,Geostationary Transfer Orbit,1.0,5400.0,2016,China,August,Xichang Satellite Launch Center
Atlas V 421,Quasar-20 (USA-269) (NROL-61),Success,"SLC-41, Cape Canaveral SFS, Florida, USA",2016-07-28 12:37:00+00:00,ULA,Retired,123.0,7152.0,13600.0,6890.0,2.0,2.0,58.3,4.2,13.8,Geostationary Earth Orbit,1.0,,2016,USA,July,Florida
Falcon 9 Block 3 (v1.2/FT),CRS SpX-9,Success,"SLC-40, Cape Canaveral SFS, Florida, USA",2016-07-18 04:45:00+00:00,SpaceX,Retired,62.0,6804.0,22800.0,8300.0,2.0,0.0,70.0,5.2,13.0,Low Earth Orbit,,2257.0,2016,USA,July,Florida
Soyuz U,Progress MS-03,Success,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2016-07-16 21:41:00+00:00,Roscosmos,Retired,20.0,4456.0,6860.0,0.0,3.0,4.0,51.32,3.0,15.59,Low Earth Orbit,1.0,7281.0,2016,Kazakhstan,July,Baikonur Cosmodrome
